# Ticks,TimeStamp,ValidTipForce,TipForce_mN_0,TipForce_mN_1,TipForce_mN_2,TipForce_mN_3,ScleraForce_mN_0,ScleraForce_mN_1,TipForceNorm_mN,ScleraForceNorm_mN,TipForceDirection0,TipForceDirection1,FBGRaw0,FBGRaw1,FBGRaw2,FBGRaw3,HandleForcesN0,HandleForcesN1,HandleForcesN2,HandleForcesN3,HandleForcesN4,HandleForcesN5,FT_SensorRaw0,FT_SensorRaw1,FT_SensorRaw2,FT_SensorRaw3,FT_SensorRaw4,FT_SensorRaw5,RobotPosition0,RobotPosition1,RobotPosition2,RobotPosition3,RobotPosition4,RobotPosition5,RobotVelocity0,RobotVelocity1,RobotVelocity2,RobotVelocity3,RobotVelocity4,RobotVelocity5,Pedal0,Pedal1,NNPRedictedFsX,NNPRedictedFsY,NNPRedictedFsNorm,Depth_p,x_new_p_0,x_new_p_1,x_new_p_2,P_new_p,PX_new_p_0,PX_new_p_1,PX_new_p_2,PX_new_p_3,PX_new_p_4,PX_new_p_5,PX_new_p_6,PX_new_p_7,PX_new_p_8,desiredControlParams_0,desiredControlParams_1,desiredControlParams_2
716471,1691512421.243355,0,0.0013262,-0.0002425,0.0000066,-0.0000000,0.0000000,0.0000000,0.0013482,0.0000000,-17.4774222,125.3366158,1550.0972872,1550.1932814,1550.2050120,0.0000000,-0.0120944,-0.0294069,-0.2404010,-0.0064381,0.0009388,-0.0024290,-0.2113159,-0.0230315,-0.2932207,-0.0092661,0.0007393,0.0044915,7.4451,-75.8439,1.3659,-0.1380,-0.4485,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,12.82,0.00,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
716472,1691512421.248651,0,0.0000143,-0.0000474,-0.0000020,0.0000000,0.0000000,0.0000000,0.0000496,0.0000000,-18.0660784,127.6479757,1550.0943540,1550.1899579,1550.2083355,0.0000000,0.0054578,-0.0461103,-0.2468901,-0.0067157,0.0009051,-0.0029880,-0.0044115,-0.1251727,-0.3464978,-0.0110485,0.0010119,-0.0025464,7.4451,-75.8439,1.3659,-0.1380,-0.4485,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,12.98,0.00,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
716473,1691512421.253982,0,0.0000143,-0.0000474,-0.0000020,0.0000000,0.0000000,0.0000000,0.0000496,0.0000000,-18.0660784,127.6479757,1550.0943540,1550.1899579,1550.2083355,0.0000000,-0.0046423,-0.0276576,-0.2457335,-0.0067360,0.0008765,-0.0025764,-0.1753672,0.1345460,-0.1617000,-0.0059829,0.0001807,0.0035110,7.4451,-75.8439,1.3659,-0.1380,-0.4485,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,12.82,0.00,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
716474,1691512421.259210,0,0.0000143,-0.0000474,-0.0000020,0.0000000,0.0000000,0.0000000,0.0000496,0.0000000,-18.0660784,127.6479757,1550.0943540,1550.1899579,1550.2083355,0.0000000,-0.0158968,-0.0368508,-0.2420170,-0.0066349,0.0010277,-0.0020926,-0.1833730,-0.0843942,-0.1624976,-0.0046251,0.0016018,0.0041985,7.4451,-75.8439,1.3659,-0.1380,-0.4485,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,12.82,0.00,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
716475,1691512421.264265,0,0.0000143,-0.0000474,-0.0000020,0.0000000,0.0000000,0.0000000,0.0000496,0.0000000,-18.0660784,127.6479757,1550.0943540,1550.1899579,1550.2083355,0.0000000,-0.0151419,-0.0406699,-0.2483161,-0.0069799,0.0011582,-0.0021520,-0.1367297,-0.0326305,-0.2693618,-0.0097529,0.0018696,0.0020866,7.4451,-75.8439,1.3659,-0.1380,-0.4485,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,12.82,0.00,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
716476,1691512421.269785,0,0.0000143,-0.0000474,-0.0000020,0.0000000,0.0000000,0.0000000,0.0000496,0.0000000,-18.0660784,127.6479757,1550.0943540,1550.1899579,1550.2083355,0.0000000,-0.0329851,-0.0500784,-0.2647607,-0.0077012,0.0014579,-0.0015515,-0.3189532,-0.0814697,-0.2914725,-0.0105407,0.0025254,0.0087888,7.4451,-75.8439,1.3659,-0.1380,-0.4485,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,12.82,0.00,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
716477,1691512421.275442,0,-0.0000116,-0.0000290,-0.0000016,-0.0000000,0.0000000,0.0000000,0.0000312,0.0000000,-17.8184854,127.7480114,1550.0937693,1550.1893712,1550.2077488,0.0000000,-0.0401210,-0.0544370,-0.2551398,-0.0073913,0.0014097,-0.0012520,-0.1637577,-0.0692966,-0.1349147,-0.0041276,0.0006113,0.0032096,7.4451,-75.8439,1.3659,-0.1380,-0.4485,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,12.82,0.00,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
716478,1691512421.280849,0,-0.0000132,-0.0000203,-0.0000017,-0.0000000,0.0000000,0.0000000,0.0000243,0.0000000,-16.8234969,125.9345171,1550.0935725,1550.1905446,1550.2081406,0.0000000,-0.0593933,-0.0480891,-0.2597821,-0.0075923,0.0015414,-0.0005317,-0.3118087,0.0239670,-0.1753424,-0.0060858,0.0013597,0.0086154,7.4451,-75.8439,1.3659,-0.1380,-0.4485,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,12.98,0.00,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
716479,1691512421.286124,0,0.0002828,-0.0001147,-0.0000013,0.0000000,0.0000000,0.0000000,0.0003052,0.0000000,-17.8503608,126.2938091,1550.0959190,1550.1913263,1550.2087273,0.0000000,-0.0449400,-0.0518432,-0.2289528,-0.0065168,0.0013269,-0.0011746,0.0585787,-0.0758393,-0.0359111,-0.0011935,0.0005548,-0.0060728,7.4451,-75.8439,1.3659,-0.1380,-0.4485,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,12.82,0.00,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
716480,1691512421.292075,0,0.0005516,-0.0001491,0.0000007,-0.0000000,0.0000000,0.0000000,0.0005714,0.0000000,-17.6643715,125.7830237,1550.0963108,1550.1917161,1550.2077488,0.0000000,-0.0489718,-0.0232182,-0.2075159,-0.0055109,0.0012242,-0.0010662,-0.0915540,0.1911171,0.0190274,0.0017372,0.0006013,-0.0010422,7.4451,-75.8439,1.3659,-0.1380,-0.4485,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,12.82,0.00,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
